City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
46,san andres,12.5847,-81.7006,301.16,74,20,3.09,CO,1674082725
47,tiksi,71.6872,128.8694,239.45,100,98,0.26,RU,1674082726
48,eydhafushi,5.1033,73.0708,300.26,77,52,8.37,MV,1674082727
49,durban,-29.8579,31.0292,299.77,93,53,3.75,ZA,1674082501
50,visby,57.6409,18.296,272.49,100,100,0.51,SE,1674082728
51,oudtshoorn,-33.5907,22.2014,293.35,73,59,1.05,ZA,1674082729
52,anadyr,64.75,177.4833,245.43,69,40,4.0,RU,1674082730
53,ribeira grande,38.5167,-28.7,285.25,86,11,2.24,PT,1674082730
54,pevek,69.7008,170.3133,238.77,100,100,2.71,RU,1674082731
55,meulaboh,4.1363,96.1285,295.52,83,90,1.58,ID,1674082732
56,katsuura,35.1333,140.3,278.16,72,100,7.06,JP,1674082588
57,rikitea,-23.1203,-134.9692,298.7,70,75,1.42,PF,1674082733
58,carnarvon,-24.8667,113.6333,299.39,70,21,2.28,AU,1674082733
59,hermanus,-34.4187,19.2345,293.6,88,32,2.02,ZA,1674082734
60,puri,19.8,85.85,293.44,83,44,0.9,IN,1674082735
61,port lincoln,-34.7333,135.8667,289.27,58,100,7.16,AU,1674082736
62,puerto escondido,15.85,-97.0667,300.08,70,31,5.18,MX,1674082736
63,kruisfontein,-34.0033,24.7314,297.53,62,100,2.31,ZA,1674082737
64,alenquer,-1.9417,-54.7383,295.49,96,100,0.74,BR,1674082738
65,sechura,-5.5569,-80.8222,298.24,58,41,6.88,PE,1674082739
66,leningradskiy,69.3833,178.4167,244.03,98,100,10.38,RU,1674082739
67,qaanaaq,77.484,-69.3632,244.36,95,100,2.01,GL,1674082740
68,barrow,71.2906,-156.7887,254.16,78,100,8.75,US,1674082741
69,te anau,-45.4167,167.7167,295.56,43,28,1.56,NZ,1674082741
70,shakawe,-18.3667,21.85,292.78,95,100,1.96,BW,1674082742
71,bengkulu,-3.8004,102.2655,296.62,90,84,1.75,ID,1674082743
72,lebu,-37.6167,-73.65,290.11,73,1,4.02,CL,1674082743
73,havoysund,70.9963,24.6622,271.28,82,100,6.58,NO,1674082744
74,saskylakh,71.9167,114.0833,235.29,100,55,1.35,RU,1674082745
75,constitucion,-35.3333,-72.4167,290.65,71,11,3.19,CL,1674082746
76,port-cartier,50.0334,-66.8654,274.27,85,100,3.46,CA,1674082747
77,severo-kurilsk,50.6789,156.125,264.27,60,100,12.24,RU,1674082748
78,mogocha,53.7333,119.7667,239.45,97,100,1.52,RU,1674082749
79,cizre,37.3272,42.1903,281.7,53,6,1.36,TR,1674082750
80,baoding,38.8511,115.4903,269.46,42,0,2.07,CN,1674082750
81,murud,18.3258,72.965,292.79,63,4,1.67,IN,1674082752
82,sivas,39.7916,37.0019,274.08,70,26,0.72,TR,1674082753
83,henties bay,-22.116,14.2845,292.45,83,49,4.14,NA,1674082754
84,mar del plata,-38.0023,-57.5575,296.16,90,100,8.05,AR,1674082580
85,albany,42.6001,-73.9662,277.97,81,100,0.89,US,1674082692
86,svetlyy,54.675,20.1347,276.46,80,100,4.97,RU,1674082757
87,ciudad bolivar,8.1222,-63.5497,301.56,55,80,6.91,VE,1674082758
88,sakaiminato,35.55,133.2333,278.14,87,75,3.09,JP,1674082759
89,chokurdakh,70.6333,147.9167,236.29,100,22,2.9,RU,1674082760
90,hirara,24.8,125.2833,290.07,77,75,9.26,JP,1674082761
91,svetlogorsk,52.6333,29.7333,279.35,83,58,5.87,BY,1674082762
92,peine,52.3167,10.2333,274.37,76,18,2.68,DE,1674082763
93,bandarbeyla,9.4942,50.8122,296.78,74,16,8.6,SO,1674082763
94,berlevag,70.8578,29.0864,271.15,74,75,7.72,NO,1674082764
95,hasaki,35.7333,140.8333,277.16,59,99,7.41,JP,1674082765
96,marovoay,-16.1,46.6333,298.3,62,97,2.92,MG,1674082766
97,yellowknife,62.456,-114.3525,266.44,100,100,4.63,CA,1674082768
98,kodiak,57.79,-152.4072,272.37,80,100,0.54,US,1674082769
99,nouadhibou,20.931,-17.0347,292.14,63,76,7.72,MR,1674082770
100,olafsvik,64.8945,-23.7142,270.36,78,70,8.58,IS,1674082771
